SA2_MAINCODE_2016,SA2_NAME_2016,SED_CODE_2018,SED_NAME_2018,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
102021052,Summerland Point - Gwandalan,10079,Swansea,1,Good,Acceptable,0
102021053,The Entrance,10083,The Entrance,1,Good,Acceptable,0
102021054,Toukley - Norah Head,10093,Wyong,1,Acceptable,Acceptable,0
102021055,Tuggerah - Kangy Angy,10083,The Entrance,0.1656916,Good,Acceptable,0
102021055,Tuggerah - Kangy Angy,10093,Wyong,0.8343084,Acceptable,Acceptable,0
102021056,Warnervale - Wadalba,10093,Wyong,1,Acceptable,Acceptable,0
102021057,Wyong,10093,Wyong,1,Acceptable,Acceptable,0
103011058,Bathurst,10007,Bathurst,1,Good,Acceptable,0
103011059,Bathurst - East,10007,Bathurst,1,Good,Acceptable,0
103011060,Bathurst Region,10007,Bathurst,1,Good,Acceptable,0
103011061,Oberon,10007,Bathurst,1,Good,Acceptable,0
103021062,Condobolin,10006,Barwon,0.9265834,Good,Acceptable,0
103021062,Condobolin,10063,Orange,0.0734166,Good,Acceptable,0
103021063,Cowra,10022,Cootamundra,1,Good,Acceptable,0
103021064,Cowra Region,10022,Cootamundra,0.6092291,Good,Acceptable,0
103021064,Cowra Region,10063,Orange,0.3907709,Good,Acceptable,0
103021065,Forbes,10063,Orange,1,Good,Acceptable,0
103021066,Grenfell,10022,Cootamundra,1,Good,Acceptable,0
103021067,Parkes (NSW),10063,Orange,1,Good,Acceptable,0
103021068,Parkes Region,10063,Orange,1,Good,Acceptable,0
103021069,West Wyalong,10022,Cootamundra,1,Good,Acceptable,0
103031070,Lithgow,10007,Bathurst,1,Good,Acceptable,0
103031071,Lithgow Region,10007,Bathurst,1,Good,Acceptable,0
103031072,Mudgee,10026,Dubbo,1,Good,Acceptable,0
103031073,Mudgee Region - East,10007,Bathurst,0.9136563,Good,Acceptable,0
103031073,Mudgee Region - East,10085,Upper Hunter,0.0863437,Good,Acceptable,0
103031074,Mudgee Region - West,10006,Barwon,0.1377748,Good,Acceptable,0
103031074,Mudgee Region - West,10026,Dubbo,0.7894331,Good,Acceptable,0
103031074,Mudgee Region - West,10085,Upper Hunter,0.0727922,Good,Acceptable,0
103031075,Wollangambe - Wollemi,10007,Bathurst,1,Good,Acceptable,0
103041076,Blayney,10007,Bathurst,1,Good,Acceptable,0
103041077,Orange,10063,Orange,1,Good,Acceptable,0
103041078,Orange - North,10063,Orange,1,Good,Acceptable,0
103041079,Orange Region,10063,Orange,1,Good,Acceptable,0
104011080,Grafton,10019,Clarence,1,Good,Acceptable,0
104011081,Grafton Region,10019,Clarence,1,Good,Acceptable,0
