SA2_MAINCODE_2016,SA2_NAME_2016,LGA_CODE_2016,LGA_NAME_2016,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101021007,Braidwood,13310,Goulburn Mulwaree (A),0.0682751,Acceptable,Good,0
101021007,Braidwood,16490,Queanbeyan-Palerang Regional (A),0.9317249,Good,Good,0
101021008,Karabar,16490,Queanbeyan-Palerang Regional (A),1,Good,Good,0
101021009,Queanbeyan,16490,Queanbeyan-Palerang Regional (A),1,Good,Good,0
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang Regional (A),1,Good,Good,0
101021011,Queanbeyan Region,13310,Goulburn Mulwaree (A),0.0226795,Acceptable,Good,0
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang Regional (A),0.9271651,Good,Good,0
101021011,Queanbeyan Region,17040,Snowy Monaro Regional (A),0.0501554,Good,Good,0
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang Regional (A),1,Good,Good,0
101031013,Bombala,10550,Bega Valley (A),0,Good,Good,1
101031013,Bombala,17040,Snowy Monaro Regional (A),1,Good,Good,0
101031014,Cooma,17040,Snowy Monaro Regional (A),1,Good,Good,0
101031015,Cooma Region,10550,Bega Valley (A),0,Good,Good,1
101031015,Cooma Region,17040,Snowy Monaro Regional (A),1,Good,Good,0
101031016,Jindabyne - Berridale,17040,Snowy Monaro Regional (A),1,Good,Good,0
101041017,Batemans Bay,12750,Eurobodalla (A),1,Good,Good,0
101041018,Batemans Bay - South,12750,Eurobodalla (A),1,Good,Good,0
101041019,Bega - Tathra,10550,Bega Valley (A),1,Good,Good,0
101041020,Bega-Eden Hinterland,10550,Bega Valley (A),0.9972665,Good,Good,0
101041020,Bega-Eden Hinterland,12750,Eurobodalla (A),0.0027335,Good,Good,1
101041020,Bega-Eden Hinterland,17040,Snowy Monaro Regional (A),0,Good,Good,1
101041021,Broulee - Tomakin,12750,Eurobodalla (A),1,Good,Good,0
101041022,Deua - Wadbilliga,10550,Bega Valley (A),1.12e-05,Good,Good,1
101041022,Deua - Wadbilliga,12750,Eurobodalla (A),0.9999885,Good,Good,0
101041022,Deua - Wadbilliga,17040,Snowy Monaro Regional (A),4e-07,Good,Good,1
101041023,Eden,10550,Bega Valley (A),1,Good,Good,0
101041024,Eurobodalla Hinterland,12750,Eurobodalla (A),0.9513973,Good,Good,0
101041024,Eurobodalla Hinterland,16950,Shoalhaven (C),0.0486027,Good,Good,0
101041025,Merimbula - Tura Beach,10550,Bega Valley (A),1,Good,Good,0
101041026,Moruya - Tuross Head,12750,Eurobodalla (A),1,Good,Good,0
101041027,Narooma - Bermagui,10550,Bega Valley (A),0.2492476,Good,Good,0
101041027,Narooma - Bermagui,12750,Eurobodalla (A),0.7507524,Good,Good,0
101051539,Goulburn,13310,Goulburn Mulwaree (A),1,Acceptable,Good,0
101051540,Goulburn Region,13310,Goulburn Mulwaree (A),0.4798703,Acceptable,Good,0
101051540,Goulburn Region,16490,Queanbeyan-Palerang Regional (A),0.0144744,Good,Good,0
101051540,Goulburn Region,17640,Upper Lachlan Shire (A),0.5049434,Poor,Good,0
101051540,Goulburn Region,18350,Wingecarribee (A),0.0004746,Good,Good,1
101051540,Goulburn Region,18710,Yass Valley (A),0.0002373,Good,Good,1
101061541,Yass,18710,Yass Valley (A),1,Good,Good,0
101061542,Yass Region,13910,Hilltops (A),0.0491689,Good,Good,0
101061542,Yass Region,17080,Snowy Valleys (A),0,Good,Good,1
101061542,Yass Region,17640,Upper Lachlan Shire (A),0.1122618,Poor,Good,0
101061542,Yass Region,18710,Yass Valley (A),0.8385693,Good,Good,0
101061543,Young,13910,Hilltops (A),1,Good,Good,0
101061544,Young Region,13910,Hilltops (A),1,Good,Good,0
102011028,Avoca Beach - Copacabana,11650,Central Coast (C) (NSW),1,Good,Good,0
102011029,Box Head - MacMasters Beach,11650,Central Coast (C) (NSW),1,Good,Good,0
102011030,Calga - Kulnura,11650,Central Coast (C) (NSW),1,Good,Good,0
102011031,Erina - Green Point,11650,Central Coast (C) (NSW),1,Good,Good,0
102011032,Gosford - Springfield,11650,Central Coast (C) (NSW),1,Good,Good,0
102011033,Kariong,11650,Central Coast (C) (NSW),1,Good,Good,0
102011034,Kincumber - Picketts Valley,11650,Central Coast (C) (NSW),1,Good,Good,0
102011035,Narara,11650,Central Coast (C) (NSW),1,Good,Good,0
102011036,Niagara Park - Lisarow,11650,Central Coast (C) (NSW),1,Good,Good,0
102011037,Point Clare - Koolewong,11650,Central Coast (C) (NSW),1,Good,Good,0
102011038,Saratoga - Davistown,11650,Central Coast (C) (NSW),1,Good,Good,0
102011039,Terrigal - North Avoca,11650,Central Coast (C) (NSW),1,Good,Good,0
102011040,Umina - Booker Bay - Patonga,11650,Central Coast (C) (NSW),1,Good,Good,0
102011041,Wamberal - Forresters Beach,11650,Central Coast (C) (NSW),1,Good,Good,0
102011042,Woy Woy - Blackwall,11650,Central Coast (C) (NSW),1,Good,Good,0
102011043,Wyoming,11650,Central Coast (C) (NSW),1,Good,Good,0
102021044,Bateau Bay - Killarney Vale,11650,Central Coast (C) (NSW),1,Good,Good,0
102021045,Blue Haven - San Remo,11650,Central Coast (C) (NSW),1,Good,Good,0
102021046,Budgewoi - Buff Point - Halekulani,11650,Central Coast (C) (NSW),1,Good,Good,0
102021047,Chittaway Bay - Tumbi Umbi,11650,Central Coast (C) (NSW),1,Good,Good,0
102021048,Gorokan - Kanwal - Charmhaven,11650,Central Coast (C) (NSW),1,Good,Good,0
102021049,Jilliby - Yarramalong,11650,Central Coast (C) (NSW),1,Good,Good,0
102021050,Lake Munmorah - Mannering Park,11650,Central Coast (C) (NSW),1,Good,Good,0
102021050,Lake Munmorah - Mannering Park,14650,Lake Macquarie (C),0,Good,Good,1
102021051,Ourimbah - Fountaindale,11650,Central Coast (C) (NSW),1,Good,Good,0
102021052,Summerland Point - Gwandalan,11650,Central Coast (C) (NSW),1,Good,Good,0
102021053,The Entrance,11650,Central Coast (C) (NSW),1,Good,Good,0
102021054,Toukley - Norah Head,11650,Central Coast (C) (NSW),1,Good,Good,0
102021055,Tuggerah - Kangy Angy,11650,Central Coast (C) (NSW),1,Good,Good,0
102021056,Warnervale - Wadalba,11650,Central Coast (C) (NSW),1,Good,Good,0
102021057,Wyong,11650,Central Coast (C) (NSW),1,Good,Good,0
103011058,Bathurst,10470,Bathurst Regional (A),1,Good,Good,0
103011059,Bathurst - East,10470,Bathurst Regional (A),1,Good,Good,0
103011060,Bathurst Region,10470,Bathurst Regional (A),0.9067538,Good,Good,0
103011060,Bathurst Region,14870,Lithgow (C),0.0021786,Good,Good,1
103011060,Bathurst Region,16100,Oberon (A),0.0910675,Acceptable,Good,0
103011061,Oberon,16100,Oberon (A),1,Acceptable,Good,0
103021062,Condobolin,12900,Forbes (A),0.0106815,Good,Good,0
103021062,Condobolin,14600,Lachlan (A),0.9338047,Good,Good,0
103021062,Condobolin,16200,Parkes (A),0.0555138,Good,Good,0
103021063,Cowra,12350,Cowra (A),1,Acceptable,Good,0
103021064,Cowra Region,11400,Cabonne (A),0.395532,Poor,Good,0
103021064,Cowra Region,12350,Cowra (A),0.604468,Acceptable,Good,0
103021065,Forbes,11400,Cabonne (A),0.070846,Poor,Good,0
103021065,Forbes,12900,Forbes (A),0.927287,Good,Good,0
103021065,Forbes,14600,Lachlan (A),0.0008843,Good,Good,1
103021065,Forbes,18100,Weddin (A),0.0009826,Good,Good,1
103021066,Grenfell,18100,Weddin (A),1,Good,Good,0
103021067,Parkes (NSW),16200,Parkes (A),1,Good,Good,0
103021068,Parkes Region,11400,Cabonne (A),0.012426,Poor,Good,0
103021068,Parkes Region,12900,Forbes (A),0.0251479,Good,Good,0
103021068,Parkes Region,16200,Parkes (A),0.962426,Good,Good,0
103021069,West Wyalong,10800,Bland (A),1,Good,Good,0
103031070,Lithgow,14870,Lithgow (C),1,Good,Good,0
103031071,Lithgow Region,10470,Bathurst Regional (A),0.0003625,Good,Good,1
103031071,Lithgow Region,14870,Lithgow (C),0.9996375,Good,Good,0
103031072,Mudgee,15270,Mid-Western Regional (A),1,Good,Good,0
103031073,Mudgee Region - East,14870,Lithgow (C),0,Good,Good,1
103031073,Mudgee Region - East,15270,Mid-Western Regional (A),1,Good,Good,0
103031074,Mudgee Region - West,10470,Bathurst Regional (A),0.001157,Good,Good,1
103031074,Mudgee Region - West,15270,Mid-Western Regional (A),0.8601041,Good,Good,0
103031074,Mudgee Region - West,17620,Upper Hunter Shire (A),0,Good,Good,1
103031074,Mudgee Region - West,18020,Warrumbungle Shire (A),0.1377748,Acceptable,Good,0
103031074,Mudgee Region - West,18230,Western Plains Regional (A),0.0009641,Good,Good,1
103031075,Wollangambe - Wollemi,10900,Blue Mountains (C),0.05,Good,Good,0
103031075,Wollangambe - Wollemi,14870,Lithgow (C),0.9,Good,Good,0
103031075,Wollangambe - Wollemi,17000,Singleton (A),0.05,Good,Good,0
103041076,Blayney,10850,Blayney (A),0.9983519,Good,Good,0
103041076,Blayney,12350,Cowra (A),0.0016481,Acceptable,Good,1
103041077,Orange,16150,Orange (C),1,Good,Good,0
103041078,Orange - North,11400,Cabonne (A),0.0098168,Poor,Good,1
103041078,Orange - North,16150,Orange (C),0.9901832,Good,Good,0
103041079,Orange Region,11400,Cabonne (A),0.8412657,Poor,Good,0
103041079,Orange Region,16150,Orange (C),0.1562338,Good,Good,0
103041079,Orange Region,18230,Western Plains Regional (A),0.0025004,Good,Good,1
104011080,Grafton,11730,Clarence Valley (A),1,Good,Good,0
104011081,Grafton Region,11730,Clarence Valley (A),1,Good,Good,0
104011081,Grafton Region,11800,Coffs Harbour (C),0,Good,Good,1
104011081,Grafton Region,16610,Richmond Valley (A),0,Good,Good,1
104011082,Maclean - Yamba - Iluka,11730,Clarence Valley (A),1,Good,Good,0
104011082,Maclean - Yamba - Iluka,16610,Richmond Valley (A),0,Good,Good,1
104021083,Bellingen,10600,Bellingen (A),0.9993087,Good,Good,0
104021083,Bellingen,15700,Nambucca (A),0.0006913,Good,Good,1
104021084,Coffs Harbour - North,11800,Coffs Harbour (C),1,Good,Good,0
104021085,Coffs Harbour - South,11800,Coffs Harbour (C),1,Good,Good,0
104021086,Coramba - Nana Glen - Bucca,11800,Coffs Harbour (C),1,Good,Good,0
104021087,Dorrigo,10600,Bellingen (A),0.6730531,Good,Good,0
104021087,Dorrigo,11730,Clarence Valley (A),0.1251545,Good,Good,0
104021087,Dorrigo,11800,Coffs Harbour (C),0.2017923,Good,Good,0
104021088,Korora - Emerald Beach,11800,Coffs Harbour (C),1,Good,Good,0
104021089,Sawtell - Boambee,11800,Coffs Harbour (C),1,Good,Good,0
104021090,Urunga,10600,Bellingen (A),1,Good,Good,0
104021091,Woolgoolga - Arrawarra,11730,Clarence Valley (A),0,Good,Good,1
104021091,Woolgoolga - Arrawarra,11800,Coffs Harbour (C),1,Good,Good,0
105011092,Bourke - Brewarrina,10950,Bogan (A),0.0007592,Poor,Good,1
105011092,Bourke - Brewarrina,11150,Bourke (A),0.6570923,Poor,Good,0
105011092,Bourke - Brewarrina,11200,Brewarrina (A),0.3413893,Poor,Good,0
105011092,Bourke - Brewarrina,11750,Cobar (A),0.0007592,Good,Good,1
105011093,Cobar,10950,Bogan (A),0.0030192,Poor,Good,1
105011093,Cobar,11750,Cobar (A),0.9969808,Good,Good,0
105011094,Coonamble,12150,Coonamble (A),0.948992,Good,Good,0
105011094,Coonamble,17950,Warren (A),0.051008,Poor,Good,0
105011095,Nyngan - Warren,10950,Bogan (A),0.5369885,Poor,Good,0
105011095,Nyngan - Warren,11200,Brewarrina (A),0.0016126,Poor,Good,1
105011095,Nyngan - Warren,14600,Lachlan (A),0,Good,Good,1
105011095,Nyngan - Warren,17950,Warren (A),0.4613989,Poor,Good,0
105011096,Walgett - Lightning Ridge,11200,Brewarrina (A),0.045354,Poor,Good,0
105011096,Walgett - Lightning Ridge,12150,Coonamble (A),0.0017383,Good,Good,1
105011096,Walgett - Lightning Ridge,17900,Walgett (A),0.9511694,Good,Good,0
105011096,Walgett - Lightning Ridge,17950,Warren (A),0.0017383,Poor,Good,1
105021097,Broken Hill,11250,Broken Hill (C),1,Good,Good,0
105021098,Far West,11700,Central Darling (A),0.7371178,Poor,Good,0
105021098,Far West,19399,Unincorporated NSW,0.2628822,Poor,Good,0
105031099,Coonabarabran,12150,Coonamble (A),0,Good,Good,1
105031099,Coonabarabran,18020,Warrumbungle Shire (A),1,Acceptable,Good,0
105031100,Dubbo - East,18230,Western Plains Regional (A),1,Good,Good,0
105031101,Dubbo - South,18230,Western Plains Regional (A),1,Good,Good,0
105031102,Dubbo - West,18230,Western Plains Regional (A),1,Good,Good,0
105031103,Dubbo Region,11400,Cabonne (A),0.0160514,Poor,Good,0
105031103,Dubbo Region,18230,Western Plains Regional (A),0.9839486,Good,Good,0
105031104,Gilgandra,12950,Gilgandra (A),0.9688359,Good,Good,0
105031104,Gilgandra,17950,Warren (A),0.0311641,Poor,Good,0
105031105,Narromine,15850,Narromine (A),0.9866993,Good,Good,0
105031105,Narromine,17950,Warren (A),0.0133007,Poor,Good,0
105031106,Wellington,11400,Cabonne (A),0.0476244,Poor,Good,0
105031106,Wellington,15270,Mid-Western Regional (A),0,Good,Good,1
105031106,Wellington,18230,Western Plains Regional (A),0.9523756,Good,Good,0
106011107,Branxton - Greta - Pokolbin,11720,Cessnock (C),0.7824928,Good,Good,0
106011107,Branxton - Greta - Pokolbin,15050,Maitland (C),0.0237837,Good,Good,0
106011107,Branxton - Greta - Pokolbin,17000,Singleton (A),0.1937235,Good,Good,0
106011108,Cessnock,11720,Cessnock (C),1,Good,Good,0
106011109,Cessnock Region,11720,Cessnock (C),1,Good,Good,0
106011110,Dungog,12700,Dungog (A),1,Good,Good,0
106011111,Kurri Kurri - Abermain,11720,Cessnock (C),0.9987513,Good,Good,0
106011111,Kurri Kurri - Abermain,15050,Maitland (C),0.0012487,Good,Good,1
106011112,Singleton,17000,Singleton (A),1,Good,Good,0
106011113,Singleton Region,17000,Singleton (A),1,Good,Good,0
106021114,Maitland,15050,Maitland (C),1,Good,Good,0
106021115,Maitland - East,15050,Maitland (C),1,Good,Good,0
106021116,Maitland - North,15050,Maitland (C),1,Good,Good,0
106021117,Maitland - West,11720,Cessnock (C),0.0052811,Good,Good,1
106021117,Maitland - West,15050,Maitland (C),0.9947189,Good,Good,0
106021118,Thornton - Millers Forest,15050,Maitland (C),1,Good,Good,0
106031119,Anna Bay,16400,Port Stephens (A),1,Good,Good,0
106031120,Lemon Tree Passage - Tanilba Bay,16400,Port Stephens (A),1,Good,Good,0
106031121,Nelson Bay Peninsula,16400,Port Stephens (A),1,Good,Good,0
106031122,Raymond Terrace,16400,Port Stephens (A),1,Good,Good,0
106031123,Seaham - Woodville,16400,Port Stephens (A),1,Good,Good,0
106031124,Tea Gardens - Hawks Nest,15240,Mid-Coast (A),1,Good,Good,0
106031124,Tea Gardens - Hawks Nest,16400,Port Stephens (A),0,Good,Good,1
106031125,Williamtown - Medowie - Karuah,15240,Mid-Coast (A),0.0082663,Good,Good,1
106031125,Williamtown - Medowie - Karuah,16400,Port Stephens (A),0.9917337,Good,Good,0
106041126,Muswellbrook,15650,Muswellbrook (A),1,Good,Good,0
106041127,Muswellbrook Region,15650,Muswellbrook (A),1,Good,Good,0
106041128,Scone,17620,Upper Hunter Shire (A),1,Good,Good,0
106041129,Scone Region,14920,Liverpool Plains (A),0,Good,Good,1
106041129,Scone Region,17620,Upper Hunter Shire (A),1,Good,Good,0
107011131,Dapto - Avondale,18450,Wollongong (C),1,Good,Good,0
107011132,Horsley - Kembla Grange,18450,Wollongong (C),1,Good,Good,0
107011133,Port Kembla Industrial,18450,Wollongong (C),1,Good,Good,0
107011134,Unanderra - Mount Kembla,18450,Wollongong (C),1,Good,Good,0
107011545,Berkeley - Lake Heights - Cringila,18450,Wollongong (C),1,Good,Good,0
107011546,Port Kembla - Warrawong,18450,Wollongong (C),1,Good,Good,0
107011547,Windang - Primbee,18450,Wollongong (C),1,Good,Good,0
107021135,Illawarra Catchment Reserve,18350,Wingecarribee (A),1e-05,Good,Good,1
107021135,Illawarra Catchment Reserve,18400,Wollondilly (A),3.7e-06,Good,Good,1
107021135,Illawarra Catchment Reserve,18450,Wollongong (C),0.9999863,Good,Good,0
107031136,Albion Park - Macquarie Pass,16900,Shellharbour (C),1,Good,Good,0
107031137,Albion Park Rail,16900,Shellharbour (C),1,Good,Good,0
107031138,Kiama,14400,Kiama (A),1,Good,Good,0
107031139,Kiama Downs - Minnamurra,14400,Kiama (A),1,Good,Good,0
107031140,Kiama Hinterland - Gerringong,14400,Kiama (A),1,Good,Good,0
107031140,Kiama Hinterland - Gerringong,16950,Shoalhaven (C),0,Good,Good,1
107031141,Shellharbour - Flinders,16900,Shellharbour (C),1,Good,Good,0
107031142,Shellharbour - Oak Flats,16900,Shellharbour (C),1,Good,Good,0
107031143,Warilla,16900,Shellharbour (C),1,Good,Good,0
107041144,Balgownie - Fairy Meadow,18450,Wollongong (C),1,Good,Good,0
107041145,Corrimal - Tarrawanna - Bellambi,18450,Wollongong (C),1,Good,Good,0
107041146,Figtree - Keiraville,18450,Wollongong (C),1,Good,Good,0
107041147,Helensburgh,11500,Campbelltown (C) (NSW),0,Good,Good,1
107041147,Helensburgh,17150,Sutherland Shire (A),0,Good,Good,1
107041147,Helensburgh,18400,Wollondilly (A),0.0035299,Good,Good,1
107041147,Helensburgh,18450,Wollongong (C),0.99647,Good,Good,0
107041148,Thirroul - Austinmer - Coalcliff,18450,Wollongong (C),1,Good,Good,0
107041150,Woonona - Bulli - Russell Vale,18450,Wollongong (C),1,Good,Good,0
107041548,Wollongong - East,18450,Wollongong (C),1,Good,Good,0
107041549,Wollongong - West,18450,Wollongong (C),1,Good,Good,0
108011151,Bulahdelah - Stroud,15240,Mid-Coast (A),1,Good,Good,0
108011152,Forster,15240,Mid-Coast (A),1,Good,Good,0
108011153,Forster-Tuncurry Region,15240,Mid-Coast (A),1,Good,Good,0
108011154,Tuncurry,15240,Mid-Coast (A),1,Good,Good,0
108021155,Kempsey,14350,Kempsey (A),1,Good,Good,0
108021156,Kempsey Region,10130,Armidale Regional (A),0.0037799,Good,Good,1
108021156,Kempsey Region,14350,Kempsey (A),0.9962201,Good,Good,0
108021157,Macksville - Scotts Head,15700,Nambucca (A),1,Good,Good,0
108021158,Nambucca Heads,15700,Nambucca (A),1,Good,Good,0
108021159,Nambucca Heads Region,10600,Bellingen (A),0.0003905,Good,Good,1
108021159,Nambucca Heads Region,15700,Nambucca (A),0.9996095,Good,Good,0
108021160,South West Rocks,14350,Kempsey (A),1,Good,Good,0
108031161,Lord Howe Island,19399,Unincorporated NSW,1,Poor,Good,0
108041162,Laurieton - Bonny Hills,16380,Port Macquarie-Hastings (A),1,Good,Good,0
108041163,Port Macquarie - East,16380,Port Macquarie-Hastings (A),1,Good,Good,0
108041164,Port Macquarie - West,16380,Port Macquarie-Hastings (A),1,Good,Good,0
108041165,Port Macquarie Region,15240,Mid-Coast (A),0.004524,Good,Good,1
108041165,Port Macquarie Region,16380,Port Macquarie-Hastings (A),0.995476,Good,Good,0
108041166,Wauchope,16380,Port Macquarie-Hastings (A),1,Good,Good,0
108051167,Gloucester,15240,Mid-Coast (A),1,Good,Good,0
108051168,Old Bar - Manning Point - Red Head,15240,Mid-Coast (A),1,Good,Good,0
108051169,Taree,15240,Mid-Coast (A),1,Good,Good,0
108051170,Taree Region,15240,Mid-Coast (A),1,Good,Good,0
108051170,Taree Region,16380,Port Macquarie-Hastings (A),0,Good,Good,1
108051171,Wingham,15240,Mid-Coast (A),1,Good,Good,0
109011172,Albury - East,10050,Albury (C),1,Good,Good,0
109011173,Albury - North,10050,Albury (C),1,Good,Good,0
109011174,Albury - South,10050,Albury (C),1,Good,Good,0
109011175,Albury Region,10050,Albury (C),0.1222012,Good,Good,0
109011175,Albury Region,13340,Greater Hume Shire (A),0.8769377,Acceptable,Good,0
109011175,Albury Region,14950,Lockhart (A),0.0008612,Poor,Good,1
109011176,Lavington,10050,Albury (C),1,Good,Good,0
109021177,Hay,11600,Carrathool (A),0.0094181,Poor,Good,1
109021177,Hay,13850,Hay (A),0.9905819,Good,Good,0
109021178,Wentworth - Buronga,18200,Wentworth (A),1,Good,Good,0
109021179,Wentworth-Balranald Region,10300,Balranald (A),0.6306359,Poor,Good,0
109021179,Wentworth-Balranald Region,15520,Murray River (A),0.1377763,Acceptable,Good,0
109021179,Wentworth-Balranald Region,18200,Wentworth (A),0.2315877,Good,Good,0
109031180,Corowa,12870,Federation (A),1,Good,Good,0
109031181,Corowa Region,12870,Federation (A),0.9810455,Good,Good,0
109031181,Corowa Region,13340,Greater Hume Shire (A),0.0189545,Acceptable,Good,0
109031181,Corowa Region,14950,Lockhart (A),0,Poor,Good,1
109031182,Deniliquin,12730,Edward River (A),1,Acceptable,Good,0
109031183,Deniliquin Region,12730,Edward River (A),0.2060908,Acceptable,Good,0
109031183,Deniliquin Region,15520,Murray River (A),0.7939092,Acceptable,Good,0
109031184,Moama,15520,Murray River (A),1,Acceptable,Good,0
109031185,Tocumwal - Finley - Jerilderie,10650,Berrigan (A),0.8697314,Acceptable,Good,0
109031185,Tocumwal - Finley - Jerilderie,15560,Murrumbidgee (A),0.1302686,Poor,Good,0
110011186,Armidale,10130,Armidale Regional (A),1,Good,Good,0
110011187,Armidale Region - North,10130,Armidale Regional (A),1,Good,Good,0
110011187,Armidale Region - North,17650,Uralla (A),0,Acceptable,Good,1
110011188,Armidale Region - South,10130,Armidale Regional (A),0.0758529,Good,Good,0
110011188,Armidale Region - South,17310,Tamworth Regional (A),0.0048029,Good,Good,1
110011188,Armidale Region - South,17650,Uralla (A),0.9193441,Acceptable,Good,0
110011189,Walcha,17310,Tamworth Regional (A),0.0407212,Good,Good,0
110011189,Walcha,17850,Walcha (A),0.9592788,Good,Good,0
110021190,Glen Innes,13010,Glen Innes Severn (A),1,Good,Good,0
110021191,Inverell,14200,Inverell (A),1,Acceptable,Good,0
110021192,Inverell Region - East,10130,Armidale Regional (A),0.2104264,Good,Good,0
110021192,Inverell Region - East,13660,Gwydir (A),0.0036084,Poor,Good,1
110021192,Inverell Region - East,14200,Inverell (A),0.6845504,Acceptable,Good,0
110021192,Inverell Region - East,17310,Tamworth Regional (A),0.0034185,Good,Good,1
110021192,Inverell Region - East,17650,Uralla (A),0.0979964,Acceptable,Good,0
110021193,Inverell Region - West,13660,Gwydir (A),0.78921,Poor,Good,0
110021193,Inverell Region - West,14200,Inverell (A),0.21079,Acceptable,Good,0
110021193,Inverell Region - West,17310,Tamworth Regional (A),0,Good,Good,1
110021194,Tenterfield,17400,Tenterfield (A),1,Good,Good,0
110031195,Moree,15300,Moree Plains (A),1,Good,Good,0
110031196,Moree Region,13660,Gwydir (A),0.0905924,Poor,Good,0
110031196,Moree Region,15300,Moree Plains (A),0.9094076,Good,Good,0
110031197,Narrabri,15750,Narrabri (A),1,Good,Good,0
110031198,Narrabri Region,13550,Gunnedah (A),0,Good,Good,1
110031198,Narrabri Region,15750,Narrabri (A),1,Good,Good,0
110041199,Gunnedah,13550,Gunnedah (A),1,Good,Good,0
110041200,Gunnedah Region,13550,Gunnedah (A),0.7325525,Good,Good,0
110041200,Gunnedah Region,15750,Narrabri (A),0.2674475,Good,Good,0
110041201,Quirindi,14920,Liverpool Plains (A),1,Good,Good,0
110041202,Tamworth - East,17310,Tamworth Regional (A),1,Good,Good,0
110041203,Tamworth - North,17310,Tamworth Regional (A),1,Good,Good,0
110041204,Tamworth - West,17310,Tamworth Regional (A),1,Good,Good,0
110041205,Tamworth Region,13660,Gwydir (A),0.0002164,Poor,Good,1
110041205,Tamworth Region,17310,Tamworth Regional (A),0.9997836,Good,Good,0
111011206,Belmont - Bennetts Green,14650,Lake Macquarie (C),1,Good,Good,0
111011207,Belmont South - Blacksmiths,14650,Lake Macquarie (C),1,Good,Good,0
111011208,Charlestown - Dudley,14650,Lake Macquarie (C),1,Good,Good,0
111011209,Glendale - Cardiff - Hillsborough,14650,Lake Macquarie (C),0.9762486,Good,Good,0
111011209,Glendale - Cardiff - Hillsborough,15900,Newcastle (C),0.0237514,Good,Good,0
111011210,Mount Hutton - Windale,14650,Lake Macquarie (C),1,Good,Good,0
111011211,Redhead,14650,Lake Macquarie (C),1,Good,Good,0
111011212,Swansea - Caves Beach,14650,Lake Macquarie (C),1,Good,Good,0
111011213,Valentine - Eleebana,14650,Lake Macquarie (C),1,Good,Good,0
111011214,Warners Bay - Boolaroo,14650,Lake Macquarie (C),1,Good,Good,0
111021215,Bolton Point - Teralba,14650,Lake Macquarie (C),1,Good,Good,0
111021216,Bonnells Bay - Silverwater,14650,Lake Macquarie (C),1,Good,Good,0
111021217,Edgeworth - Cameron Park,14650,Lake Macquarie (C),1,Good,Good,0
111021217,Edgeworth - Cameron Park,15900,Newcastle (C),0,Good,Good,1
111021218,Morisset - Cooranbong,14650,Lake Macquarie (C),1,Good,Good,0
111021219,Toronto - Awaba,14650,Lake Macquarie (C),1,Good,Good,0
111021220,Wangi Wangi - Rathmines,14650,Lake Macquarie (C),1,Good,Good,0
111021221,West Wallsend - Barnsley - Killingworth,14650,Lake Macquarie (C),1,Good,Good,0
111031222,Adamstown - Kotara,14650,Lake Macquarie (C),0.1532599,Good,Good,0
111031222,Adamstown - Kotara,15900,Newcastle (C),0.8467401,Good,Good,0
111031223,Beresfield - Hexham,15050,Maitland (C),0.358513,Good,Good,0
111031223,Beresfield - Hexham,15900,Newcastle (C),0.641487,Good,Good,0
111031224,Hamilton - Broadmeadow,15900,Newcastle (C),1,Good,Good,0
111031225,Lambton - New Lambton,15900,Newcastle (C),1,Good,Good,0
111031226,Maryland - Fletcher - Minmi,14650,Lake Macquarie (C),0,Good,Good,1
111031226,Maryland - Fletcher - Minmi,15900,Newcastle (C),1,Good,Good,0
111031227,Mayfield - Warabrook,15900,Newcastle (C),1,Good,Good,0
111031228,Merewether - The Junction,15900,Newcastle (C),1,Good,Good,0
111031229,Newcastle - Cooks Hill,15900,Newcastle (C),1,Good,Good,0
111031230,Newcastle Port - Kooragang,15900,Newcastle (C),1,Good,Good,0
111031231,Shortland - Jesmond,15900,Newcastle (C),1,Good,Good,0
111031232,Stockton - Fullerton Cove,15900,Newcastle (C),0.555332,Good,Good,0
111031232,Stockton - Fullerton Cove,16400,Port Stephens (A),0.444668,Good,Good,0
111031233,Wallsend - Elermore Vale,14650,Lake Macquarie (C),0.0141934,Good,Good,0
111031233,Wallsend - Elermore Vale,15900,Newcastle (C),0.9858066,Good,Good,0
111031234,Waratah - North Lambton,15900,Newcastle (C),1,Good,Good,0
111031235,Wickham - Carrington - Tighes Hill,15900,Newcastle (C),1,Good,Good,0
112011236,Ballina,10250,Ballina (A),1,Good,Good,0
112011237,Ballina Region,10250,Ballina (A),1,Good,Good,0
112011238,Bangalow,11350,Byron (A),1,Good,Good,0
112011239,Brunswick Heads - Ocean Shores,11350,Byron (A),1,Good,Good,0
112011240,Byron Bay,11350,Byron (A),1,Good,Good,0
112011241,Evans Head,14850,Lismore (C),0.0156728,Good,Good,0
112011241,Evans Head,16610,Richmond Valley (A),0.9843272,Good,Good,0
112011242,Lennox Head - Skennars Head,10250,Ballina (A),1,Good,Good,0
112011243,Mullumbimby,11350,Byron (A),1,Good,Good,0
112021244,Casino,16610,Richmond Valley (A),1,Good,Good,0
112021245,Casino Region,11730,Clarence Valley (A),0,Good,Good,1
112021245,Casino Region,14550,Kyogle (A),0.2304161,Acceptable,Good,0
112021245,Casino Region,16610,Richmond Valley (A),0.7695839,Good,Good,0
