SA2_MAINCODE_2016,SA2_NAME_2016,SA2_CODE_2021,SA2_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
111021221,West Wallsend - Barnsley - Killingworth,111021221,West Wallsend - Barnsley - Killingworth,1,Good,Good,0
111031222,Adamstown - Kotara,111031222,Adamstown - Kotara,1,Good,Good,0
111031223,Beresfield - Hexham,111031223,Beresfield - Hexham,1,Good,Good,0
111031224,Hamilton - Broadmeadow,111031224,Hamilton - Broadmeadow,1,Good,Good,0
111031225,Lambton - New Lambton,111031225,Lambton - New Lambton,1,Good,Good,0
111031226,Maryland - Fletcher - Minmi,111031226,Maryland - Fletcher - Minmi,1,Good,Good,0
111031227,Mayfield - Warabrook,111031227,Mayfield - Warabrook,1,Good,Good,0
111031228,Merewether - The Junction,111031228,Merewether - The Junction,1,Good,Good,0
111031229,Newcastle - Cooks Hill,111031229,Newcastle - Cooks Hill,1,Good,Good,0
111031230,Newcastle Port - Kooragang,111031230,Newcastle Port - Kooragang,1,Good,Good,0
111031231,Shortland - Jesmond,111031231,Shortland - Jesmond,1,Good,Good,0
111031232,Stockton - Fullerton Cove,111031232,Stockton - Fullerton Cove,1,Good,Good,0
111031233,Wallsend - Elermore Vale,111031233,Wallsend - Elermore Vale,1,Good,Good,0
111031234,Waratah - North Lambton,111031234,Waratah - North Lambton,1,Good,Good,0
111031235,Wickham - Carrington - Tighes Hill,111031235,Wickham - Carrington - Tighes Hill,1,Good,Good,0
112011236,Ballina,112011236,Ballina,1,Good,Good,0
112011237,Ballina Region,112011237,Ballina Surrounds,1,Good,Good,0
112011238,Bangalow,112011238,Bangalow,1,Good,Good,0
112011239,Brunswick Heads - Ocean Shores,112011239,Brunswick Heads - Ocean Shores,1,Good,Good,0
112011240,Byron Bay,112011240,Byron Bay,1,Good,Good,0
112011241,Evans Head,112011241,Evans Head,1,Good,Good,0
112011242,Lennox Head - Skennars Head,112011242,Lennox Head - Skennars Head,1,Good,Good,0
112011243,Mullumbimby,112011243,Mullumbimby,1,Good,Good,0
112021244,Casino,112021244,Casino,1,Good,Good,0
112021245,Casino Region,112021245,Casino Surrounds,1,Good,Good,0
112021246,Goonellabah,112021246,Goonellabah,1,Good,Good,0
112021247,Kyogle,112021247,Kyogle,1,Good,Good,0
112021248,Lismore,112021248,Lismore,1,Good,Good,0
112021249,Lismore Region,112021249,Lismore Surrounds,1,Good,Good,0
112031250,Kingscliff - Fingal Head,112031250,Kingscliff - Fingal Head,1,Good,Good,0
112031251,Murwillumbah,112031251,Murwillumbah,1,Good,Good,0
112031252,Murwillumbah Region,112031252,Murwillumbah Surrounds,1,Good,Good,0
112031253,Pottsville,112031253,Pottsville,1,Good,Good,0
112031254,Tweed Heads,112031254,Tweed Heads,1,Good,Good,0
112031550,Banora Point,112031550,Banora Point,1,Good,Good,0
112031551,Terranora - North Tumblegum,112031551,Terranora - North Tumbulgum,1,Good,Good,0
112031552,Tweed Heads South,112031552,Tweed Heads South,1,Good,Good,0
113011256,Griffith (NSW),113011256,Griffith (NSW),1,Good,Good,0
113011257,Griffith Region,113011257,Griffith Surrounds,1,Good,Good,0
113011258,Leeton,113011258,Leeton,1,Good,Good,0
113011259,Narrandera,113011259,Narrandera,1,Good,Good,0
113021260,Tumbarumba,113021260,Tumbarumba,1,Good,Good,0
113021261,Tumut,113021261,Tumut,1,Good,Good,0
113021262,Tumut Region,113021262,Tumut Surrounds,1,Good,Good,0
113031263,Cootamundra,113031263,Cootamundra,1,Good,Good,0
113031264,Gundagai,113031264,Gundagai,1,Good,Good,0
113031265,Junee,113031265,Junee,1,Good,Good,0
113031266,Temora,113031266,Temora,1,Good,Good,0
113031267,Wagga Wagga - East,113031267,Wagga Wagga - East,1,Good,Good,0
113031268,Wagga Wagga - North,113031268,Wagga Wagga - North,1,Good,Good,0
113031269,Wagga Wagga - South,113031269,Wagga Wagga - South,1,Good,Good,0
113031270,Wagga Wagga - West,113031270,Wagga Wagga - West,1,Good,Good,0
113031271,Wagga Wagga Region,113031271,Wagga Wagga Surrounds,1,Good,Good,0
114011272,Berry - Kangaroo Valley,114011272,Berry - Kangaroo Valley,1,Good,Good,0
114011273,Callala Bay - Currarong,114011273,Callala Bay - Currarong,1,Good,Good,0
114011274,Culburra Beach,114011274,Culburra Beach,1,Good,Good,0
114011275,Ettrema - Sassafras - Budawang,114011275,Ettrema - Sassafras - Budawang,1,Good,Good,0
114011276,Huskisson - Vincentia,114011276,Huskisson - Vincentia,1,Good,Good,0
114011277,North Nowra - Bomaderry,114011277,North Nowra - Bomaderry,1,Good,Good,0
114011278,Nowra,114011278,Nowra,1,Good,Good,0
114011279,St Georges Basin - Erowal Bay,114011279,St Georges Basin - Erowal Bay,1,Good,Good,0
114011280,Sussex Inlet - Berrara,114011280,Sussex Inlet - Berrara,1,Good,Good,0
114011281,Tomerong - Wandandian - Woollamia,114011281,Tomerong - Wandandian - Woollamia,1,Good,Good,0
114011282,Ulladulla,114011282,Ulladulla,1,Good,Good,0
114011283,Ulladulla Region,114011283,Ulladulla Surrounds,1,Good,Good,0
114021284,Bowral,114021284,Bowral,1,Good,Good,0
114021285,Hill Top - Colo Vale,114021285,Hill Top - Colo Vale,1,Good,Good,0
114021286,Mittagong,114021286,Mittagong,1,Good,Good,0
114021287,Moss Vale - Berrima,114021287,Moss Vale - Berrima,1,Good,Good,0
114021288,Robertson - Fitzroy Falls,114021288,Robertson - Fitzroy Falls,1,Good,Good,0
114021289,Southern Highlands,114021289,Southern Highlands,1,Good,Good,0
115011290,Baulkham Hills (East),115011290,Baulkham Hills - East,1,Good,Good,0
115011291,Baulkham Hills (West) - Bella Vista,115011291,Baulkham Hills (West) - Bella Vista,0.9999995,Good,Good,0
115011291,Baulkham Hills (West) - Bella Vista,115011622,Kellyville - West,5.00E-07,Poor,Good,1
115011294,Glenhaven,115011294,Glenhaven,1,Good,Good,0
115011296,West Pennant Hills,115011296,West Pennant Hills,1,Good,Good,0
115011553,Castle Hill - Central,115011553,Castle Hill - Central,1,Good,Good,0
115011554,Castle Hill - East,115011554,Castle Hill - East,1,Good,Good,0
115011555,Castle Hill - North,115011555,Castle Hill - North,1,Good,Good,0
115011556,Castle Hill - South,115011556,Castle Hill - South,1,Good,Good,0
115011557,Castle Hill - West,115011557,Castle Hill - West,1,Good,Good,0
115011558,Cherrybrook,115011558,Cherrybrook,1,Good,Good,0
115011559,Kellyville,115011621,Kellyville - East,0.7559909,Acceptable,Good,0
115011559,Kellyville,115011622,Kellyville - West,0.2440091,Poor,Good,0
115021297,Dural - Kenthurst - Wisemans Ferry,115021297,Dural - Kenthurst - Wisemans Ferry,1,Good,Good,0
115021298,Galston - Laughtondale,115021298,Galston - Laughtondale,1,Good,Good,0
115031299,Bilpin - Colo - St Albans,115031299,Bilpin - Colo - St Albans,1,Good,Good,0
